year,faculty,plan_code,study_year,table_index,stated_total_credits,stated_total_max,is_minimum,source_page
2022,COM,CB015FTX05,4,1,144,,False,72
2022,COM,CB015FTX05,5,1,144,,False,72
2022,COM,CB015INF01,1,1,131,,False,75
2022,COM,CB015INF01,2,1,108,,False,76
2022,COM,CB015INF01,3,1,150,,False,76
2022,COM,CB015INF01,4,1,138,,False,76
2022,COM,CB015INF01,5,1,176,,False,76
2022,COM,CB018BUS01,1,1,113,,False,67
2022,COM,CB018BUS01,2,1,108,,False,67
2022,COM,CB018BUS01,3,1,150,,False,68
2022,COM,CB018BUS01,4,1,180,,False,68
2022,COM,CB018BUS09,1,1,113,,False,68
2022,COM,CB018BUS09,2,1,108,,False,68
2022,COM,CB018BUS09,3,1,150,,False,69
2022,COM,CB018BUS09,4,1,198,,False,69
2022,COM,CB018BUS09,5,1,147,,False,69
2022,COM,CB019BUS01,1,1,185,,False,84
2022,COM,CB019BUS01,2,1,186,,False,84
2022,COM,CB019BUS01,3,1,162,,False,84
2022,COM,CB019BUS09,1,1,185,,False,85
2022,COM,CB019BUS09,2,1,186,,False,85
2022,COM,CB019BUS09,3,1,180,,False,85
2022,COM,CB020BUS01,1,1,113,,False,117
2022,COM,CB020BUS01,2,1,108,,False,117
2022,COM,CB020BUS01,3,1,150,,False,117
2022,COM,CB020BUS01,4,1,162,,False,117
2022,COM,CB020BUS09,1,1,113,,False,118
2022,COM,CB020BUS09,2,1,126,,False,118
2022,COM,CB020BUS09,3,1,132,,False,118
2022,COM,CB020BUS09,4,1,180,,False,118
2022,COM,CB023ACC03,1,1,149,,False,103
2022,COM,CB023ACC03,2,1,162,,False,104
2022,COM,CB023ACC03,3,1,144,,False,104
2022,COM,CB023ACC04,1,1,149,,False,103
2022,COM,CB023ACC04,2,1,162,,False,103
